uf,municipio,ibge,bairro,cep_inicio,cep_fim,qtd_ceps
RJ,Nova Friburgo,3303401,Parque Residencial Solares,28630-340,28630-380,12
RJ,Nova Friburgo,3303401,Parque São Clemente,28623-040,28625-335,17
RJ,Nova Friburgo,3303401,Perissê,28613-270,28613-550,33
RJ,Nova Friburgo,3303401,Ponte da Saudade,28615-030,28616-102,38
RJ,Nova Friburgo,3303401,Prado,28633-210,28635-720,31
RJ,Nova Friburgo,3303401,Riograndina,28634-180,28634-520,61
RJ,Nova Friburgo,3303401,Rui Sanglard,28635-560,28635-620,13
RJ,Nova Friburgo,3303401,Sans Souci,28611-180,28614-200,7
RJ,Nova Friburgo,3303401,Santa Elisa,28614-140,28614-210,2
RJ,Nova Friburgo,3303401,Santo André,28635-240,28635-350,14
RJ,Nova Friburgo,3303401,São Geraldo,28630-330,28630-580,65
RJ,Nova Friburgo,3303401,São Pedro da Serra,28616-116,28616-971,16
RJ,Nova Friburgo,3303401,Serraville,28614-100,28614-100,1
RJ,Nova Friburgo,3303401,Suíço,28610-332,28610-370,12
RJ,Nova Friburgo,3303401,Theodoro de Oliveira,28615-318,28615-334,4
RJ,Nova Friburgo,3303401,Vale do Sol,28635-035,28635-035,1
RJ,Nova Friburgo,3303401,Vale dos Pinheiros,28625-290,28625-400,14
RJ,Nova Friburgo,3303401,Vargem Grande,28621-230,28621-280,5
RJ,Nova Friburgo,3303401,Varginha,28616-170,28616-390,51
RJ,Nova Friburgo,3303401,Vila Amélia,28625-530,28625-615,7
RJ,Nova Friburgo,3303401,Vila Guarani,28613-790,28614-120,10
RJ,Nova Friburgo,3303401,Vila Nova,28630-010,28630-210,7
RJ,Nova Friburgo,3303401,Vilage,28605-140,28605-210,9
RJ,Nova Friburgo,3303401,Ypu,28613-230,28615-050,8
RJ,Nova Iguaçu,3303500,Adrianópolis,26050-000,26090-020,40
RJ,Nova Iguaçu,3303500,Aero Clube,26285-021,26285-480,7
RJ,Nova Iguaçu,3303500,Afonso Celso,26276-110,26276-110,1
RJ,Nova Iguaçu,3303500,Alto da Posse,26020-000,26030-200,9
RJ,Nova Iguaçu,3303500,Alvarez,26255-270,26255-590,10
RJ,Nova Iguaçu,3303500,Ambaí,26040-200,26070-602,43
RJ,Nova Iguaçu,3303500,Andrade Araújo,26010-005,26012-754,47
RJ,Nova Iguaçu,3303500,Área Rural de Nova Iguaçu,26099-899,26099-899,1
RJ,Nova Iguaçu,3303500,Austin,26086-000,26276-220,221
RJ,Nova Iguaçu,3303500,Autódromo,26042-040,26053-760,32
RJ,Nova Iguaçu,3303500,Barão de Amapá,26051-090,26051-540,5
RJ,Nova Iguaçu,3303500,Barão de Guandu,26061-155,26065-390,36
RJ,Nova Iguaçu,3303500,Bela Vista,26040-055,26040-695,7
RJ,Nova Iguaçu,3303500,Belmonte,26250-040,26250-090,4
RJ,Nova Iguaçu,3303500,Belterra,26262-230,26277-270,10
RJ,Nova Iguaçu,3303500,Bernardo Kelner,26031-720,26032-040,17
RJ,Nova Iguaçu,3303500,Boa Esperança,26021-320,26070-135,48
RJ,Nova Iguaçu,3303500,Boa Vista,26032-140,26032-190,5
RJ,Nova Iguaçu,3303500,Botafogo,26040-125,26042-120,78
RJ,Nova Iguaçu,3303500,Brasil,26012-290,26012-340,4
RJ,Nova Iguaçu,3303500,Cabuçu,26291-200,26291-970,147
RJ,Nova Iguaçu,3303500,Cachoeiras,26053-590,26053-600,2
RJ,Nova Iguaçu,3303500,Cacuia,26082-005,26082-370,76
RJ,Nova Iguaçu,3303500,Caioaba,26012-580,26015-330,17
RJ,Nova Iguaçu,3303500,Califórnia,26215-370,26225-350,67
RJ,Nova Iguaçu,3303500,Campo Alegre,26292-000,26292-513,174
RJ,Nova Iguaçu,3303500,Caonze,26250-000,26250-640,39
RJ,Nova Iguaçu,3303500,Carlos Sampaio,26089-000,26089-455,102
RJ,Nova Iguaçu,3303500,Carmari,26020-275,26023-240,73
RJ,Nova Iguaçu,3303500,Carolina,26010-318,26012-840,7
RJ,Nova Iguaçu,3303500,Centro,26210-000,26285-290,221
RJ,Nova Iguaçu,3303500,Cerâmica,26030-003,26032-330,98
RJ,Nova Iguaçu,3303500,Chacrinha,26285-150,26285-780,19
RJ,Nova Iguaçu,3303500,Chavascal,26215-140,26215-140,1
RJ,Nova Iguaçu,3303500,Cidade Jardim Parque Estoril,26031-500,26064-840,142
RJ,Nova Iguaçu,3303500,Comendador Soares,26031-440,26281-520,213
RJ,Nova Iguaçu,3303500,Conjunto Residencial Redenção,26260-130,26260-590,6
RJ,Nova Iguaçu,3303500,Corumbá,26041-235,26043-345,88
RJ,Nova Iguaçu,3303500,Cruzeiro do Sul,26011-002,26235-080,18
RJ,Nova Iguaçu,3303500,Cuiabá,26025-390,26025-390,1
RJ,Nova Iguaçu,3303500,da Luz,26255-291,26263-150,72
RJ,Nova Iguaçu,3303500,Danon,26270-090,26270-550,49
RJ,Nova Iguaçu,3303500,Dois Irmãos,26022-210,26022-370,9
RJ,Nova Iguaçu,3303500,Dom Rodrigo,26260-100,26260-470,9
RJ,Nova Iguaçu,3303500,Dona Neli,26012-020,26015-070,3
RJ,Nova Iguaçu,3303500,Duque Estrada,26012-280,26013-720,2
RJ,Nova Iguaçu,3303500,Edison Passos,26235-142,26247-310,99
RJ,Nova Iguaçu,3303500,Engenheiro Rocha Freire,26041-540,26050-340,10
RJ,Nova Iguaçu,3303500,Engenho Pequeno,26010-391,26015-170,59
RJ,Nova Iguaçu,3303500,Essolandia,26225-260,26225-300,6
RJ,Nova Iguaçu,3303500,Fabrica De Polvora,26245-450,26247-300,35
RJ,Nova Iguaçu,3303500,Fazenda Da Posse,26031-490,26221-210,2
RJ,Nova Iguaçu,3303500,Figueiras,26051-065,26061-165,65
RJ,Nova Iguaçu,3303500,Flores,26263-080,26263-080,1
RJ,Nova Iguaçu,3303500,Floresta,26030-020,26035-090,20
RJ,Nova Iguaçu,3303500,Fraternidade,26220-310,26220-380,2
RJ,Nova Iguaçu,3303500,Geneciano,26061-055,26065-550,54
RJ,Nova Iguaçu,3303500,Grajau,26030-002,26031-090,10
RJ,Nova Iguaçu,3303500,Grama,26060-015,26065-610,34
RJ,Nova Iguaçu,3303500,Grande Rio,26231-030,26231-290,17
RJ,Nova Iguaçu,3303500,Guarani,26020-010,26020-020,2
RJ,Nova Iguaçu,3303500,Guararapes,26245-245,26245-510,8
RJ,Nova Iguaçu,3303500,Hiterland,26040-040,26040-040,1
RJ,Nova Iguaçu,3303500,Ida,26011-160,26012-740,5
RJ,Nova Iguaçu,3303500,Iguaçu Velho,26061-135,26062-400,10
RJ,Nova Iguaçu,3303500,Imperador,26225-220,26225-720,12
RJ,Nova Iguaçu,3303500,Imperial,26256-030,26256-220,4
RJ,Nova Iguaçu,3303500,Inconfidência,26085-000,26085-310,69
RJ,Nova Iguaçu,3303500,Independência,26285-180,26285-180,1
RJ,Nova Iguaçu,3303500,Industrial,26276-000,26276-000,1
RJ,Nova Iguaçu,3303500,Iolanda,26270-010,26270-080,10
RJ,Nova Iguaçu,3303500,Ipiranga,26292-478,26293-594,107
RJ,Nova Iguaçu,3303500,Jaceruba,26099-005,26099-190,27
RJ,Nova Iguaçu,3303500,Jacutinga,26230-000,26232-320,16
RJ,Nova Iguaçu,3303500,Jardim Alvorada,26261-010,26265-610,54
RJ,Nova Iguaçu,3303500,Jardim Belo Horizonte,26276-330,26276-580,8
RJ,Nova Iguaçu,3303500,Jardim Cachoeira,26053-500,26053-630,17
RJ,Nova Iguaçu,3303500,Jardim Canaã,26262-071,26263-330,6
RJ,Nova Iguaçu,3303500,Jardim Carioca,26022-580,26022-620,5
RJ,Nova Iguaçu,3303500,Jardim Continental,26225-250,26225-250,1
RJ,Nova Iguaçu,3303500,Jardim da Posse,26020-005,26035-240,55
RJ,Nova Iguaçu,3303500,Jardim Esplanada,26013-370,26013-480,13
RJ,Nova Iguaçu,3303500,Jardim Felix,26035-100,26035-100,1
RJ,Nova Iguaçu,3303500,Jardim Fonte São Miguel,26060-640,26061-560,6
RJ,Nova Iguaçu,3303500,Jardim Guandu,26298-000,26298-420,149
RJ,Nova Iguaçu,3303500,Jardim Iara,26043-350,26043-390,7
RJ,Nova Iguaçu,3303500,Jardim Ideal,26281-460,26281-460,1
RJ,Nova Iguaçu,3303500,Jardim Iguaçu,26280-000,26282-390,91
RJ,Nova Iguaçu,3303500,Jardim Império,26225-290,26225-790,12
RJ,Nova Iguaçu,3303500,Jardim Jasmim,26265-261,26265-660,5
RJ,Nova Iguaçu,3303500,Jardim Javari,26255-250,26255-250,1
RJ,Nova Iguaçu,3303500,Jardim Lumar,26262-020,26262-410,4
RJ,Nova Iguaçu,3303500,Jardim Marambaia,26062-075,26065-080,3
RJ,Nova Iguaçu,3303500,Jardim Marilice,26042-610,26042-700,9
RJ,Nova Iguaçu,3303500,Jardim Mato Grosso,26042-020,26043-050,5
RJ,Nova Iguaçu,3303500,Jardim Monte Castelo,26041-510,26041-717,19
RJ,Nova Iguaçu,3303500,Jardim Nacional,26225-780,26225-780,1
RJ,Nova Iguaçu,3303500,Jardim Natal,26042-680,26220-240,5
RJ,Nova Iguaçu,3303500,Jardim Nazaré,26021-690,26065-310,13
RJ,Nova Iguaçu,3303500,Jardim Nossa Senhora das Graças,26261-230,26261-420,2
RJ,Nova Iguaçu,3303500,Jardim Nova Era,26265-280,26275-580,87
RJ,Nova Iguaçu,3303500,Jardim Palmares,26271-130,26278-050,124
RJ,Nova Iguaçu,3303500,Jardim Pernambuco,26275-000,26276-020,32
RJ,Nova Iguaçu,3303500,Jardim Pitoresco,26265-260,26265-650,12
RJ,Nova Iguaçu,3303500,Jardim Real,26050-500,26050-500,1
RJ,Nova Iguaçu,3303500,Jardim Sagrado Coração de Jesus,26050-470,26050-620,2
RJ,Nova Iguaçu,3303500,Jardim Santa Fé,26041-110,26041-120,2
RJ,Nova Iguaçu,3303500,Jardim Santa Rita,26042-540,26051-083,29
RJ,Nova Iguaçu,3303500,Jardim Santo Inácio,26033-440,26033-440,1
RJ,Nova Iguaçu,3303500,Jardim São João,26255-172,26255-500,9
RJ,Nova Iguaçu,3303500,Jardim São Vicente,26040-000,26040-700,14
RJ,Nova Iguaçu,3303500,Jardim Tropical,26010-145,26015-061,32
RJ,Nova Iguaçu,3303500,Jardim Vila Rica,26011-380,26011-380,1
RJ,Nova Iguaçu,3303500,Jardim Willis,26282-300,26282-300,1
RJ,Nova Iguaçu,3303500,Joana DArc,26255-001,26255-130,6
RJ,Nova Iguaçu,3303500,Juriti,26030-120,26030-360,20
RJ,Nova Iguaçu,3303500,K-11,26250-150,26250-411,2
RJ,Nova Iguaçu,3303500,Kennedy,26020-001,26025-330,120
RJ,Nova Iguaçu,3303500,Km 32,26298-500,26298-770,91
RJ,Nova Iguaçu,3303500,Lafaiete,26261-030,26261-390,5
RJ,Nova Iguaçu,3303500,Lagoinha,26296-000,26296-588,196
RJ,Nova Iguaçu,3303500,Lambert,26215-320,26215-320,1
RJ,Nova Iguaçu,3303500,Ligia,26062-240,26062-240,1
RJ,Nova Iguaçu,3303500,Lisboa,26010-520,26010-520,1
RJ,Nova Iguaçu,3303500,Luz,26260-000,26260-000,1
RJ,Nova Iguaçu,3303500,Maio,26052-610,26052-680,7
RJ,Nova Iguaçu,3303500,Marapicu,26294-300,26295-619,145
RJ,Nova Iguaçu,3303500,Marco II,26043-080,26261-270,3
RJ,Nova Iguaçu,3303500,Maria da Luz,26216-115,26220-350,10
RJ,Nova Iguaçu,3303500,Maria José,26260-420,26260-420,1
RJ,Nova Iguaçu,3303500,Martins Ribeiro,26061-281,26061-790,2
RJ,Nova Iguaçu,3303500,Mesquita,26225-000,26251-430,155
RJ,Nova Iguaçu,3303500,Metrópole,26013-736,26216-090,30
RJ,Nova Iguaçu,3303500,Miguel Couto,26060-005,26070-970,201
RJ,Nova Iguaçu,3303500,Monte Castelo,26010-130,26041-700,18
RJ,Nova Iguaçu,3303500,Monte Líbano,26015-460,26015-460,1
RJ,Nova Iguaçu,3303500,Montevidéu,26062-050,26065-600,27
RJ,Nova Iguaçu,3303500,Moquetá,26215-020,26285-520,44
RJ,Nova Iguaçu,3303500,Morro Agudo,26031-510,26280-480,2
RJ,Nova Iguaçu,3303500,Nossa Senhora das Graças,26263-130,26263-340,5
RJ,Nova Iguaçu,3303500,Nossa Senhora de Fátima,26022-251,26022-271,2
RJ,Nova Iguaçu,3303500,Nova América,26021-160,26040-275,40
RJ,Nova Iguaçu,3303500,Nova Brasília,26050-225,26053-045,23
RJ,Nova Iguaçu,3303500,Nova Luz,26060-450,26065-590,9
RJ,Nova Iguaçu,3303500,Oliveira,26030-000,26030-831,17
RJ,Nova Iguaçu,3303500,Ouro Preto,26275-010,26277-230,24
RJ,Nova Iguaçu,3303500,Ouro Verde,26262-040,26275-096,45
RJ,Nova Iguaçu,3303500,Palhada,26290-000,26290-478,177
RJ,Nova Iguaçu,3303500,Palmeiras,26255-161,26255-410,3
RJ,Nova Iguaçu,3303500,Parada Amaral,26040-005,26043-060,37
RJ,Nova Iguaçu,3303500,Paraíso,26297-000,26297-498,169
RJ,Nova Iguaçu,3303500,Parque Alvorada,26053-050,26053-591,22
RJ,Nova Iguaçu,3303500,Parque Ambaí,26060-040,26070-787,39
RJ,Nova Iguaçu,3303500,Parque Antártica,26052-720,26055-003,12
RJ,Nova Iguaçu,3303500,Parque Bárbara,26010-300,26010-330,2
RJ,Nova Iguaçu,3303500,Parque Central,26235-490,26235-620,3
RJ,Nova Iguaçu,3303500,Parque do Laranjal,26276-170,26276-170,1
RJ,Nova Iguaçu,3303500,Parque Engenho Pequeno,26011-350,26011-351,2
RJ,Nova Iguaçu,3303500,Parque Flora,26040-075,26041-100,31
RJ,Nova Iguaçu,3303500,Parque Horizonte,26285-080,26285-210,5
RJ,Nova Iguaçu,3303500,Parque Maria da Fonte,26052-190,26060-672,4
RJ,Nova Iguaçu,3303500,Parque Princesa Isabel,26051-500,26051-580,4
RJ,Nova Iguaçu,3303500,Parque Renascença,26060-110,26060-110,1
RJ,Nova Iguaçu,3303500,Parque Residencial Gisela,26032-300,26032-640,4
RJ,Nova Iguaçu,3303500,Parque Residencial Guadalajara,26285-130,26286-070,4
RJ,Nova Iguaçu,3303500,Parque Rodilar,26265-580,26265-582,2
RJ,Nova Iguaçu,3303500,Parque Rosa do Sertão,26050-590,26053-150,8
RJ,Nova Iguaçu,3303500,Parque Rosário,26010-421,26050-440,4
RJ,Nova Iguaçu,3303500,Parque São Carlos,26051-020,26051-670,2
RJ,Nova Iguaçu,3303500,Parque São Vicente de Paulo,26271-000,26272-370,12
RJ,Nova Iguaçu,3303500,Parque Saudade,26052-230,26055-000,9
RJ,Nova Iguaçu,3303500,Parque Ulisses,26010-371,26011-001,21
RJ,Nova Iguaçu,3303500,Pau Rolou,26061-175,26061-245,8
RJ,Nova Iguaçu,3303500,Peixoto,26230-290,26231-000,12
RJ,Nova Iguaçu,3303500,Pioneiro,26271-320,26275-570,10
RJ,Nova Iguaçu,3303500,Ponto Chic,26030-450,26035-400,88
RJ,Nova Iguaçu,3303500,Posse,26013-700,26285-101,65
RJ,Nova Iguaçu,3303500,Prados Verdes,26299-000,26299-315,106
RJ,Nova Iguaçu,3303500,Prata,26010-003,26221-190,37
RJ,Nova Iguaçu,3303500,Presidente Juscelino,26225-020,26251-440,54
RJ,Nova Iguaçu,3303500,Primavera,26262-100,26263-050,2
RJ,Nova Iguaçu,3303500,Quartéis,26275-160,26275-600,3
RJ,Nova Iguaçu,3303500,Quinta da Piedade,26062-250,26065-260,7
RJ,Nova Iguaçu,3303500,Rancho Alegre,26262-030,26262-030,1
RJ,Nova Iguaçu,3303500,Rancho Fundo,26050-195,26052-380,16
RJ,Nova Iguaçu,3303500,Rancho Novo,26011-790,26015-410,48
RJ,Nova Iguaçu,3303500,Recanto Santo Antônio,26051-320,26051-360,5
RJ,Nova Iguaçu,3303500,Recreio Paco da Marambaia,26060-000,26065-170,47
RJ,Nova Iguaçu,3303500,Riachão,26084-000,26279-420,169
RJ,Nova Iguaçu,3303500,Rio Douro,26092-000,26092-220,29
RJ,Nova Iguaçu,3303500,Rocha Sobrinho,26230-570,26232-510,34
RJ,Nova Iguaçu,3303500,Rodilândia,26083-000,26083-625,130
RJ,Nova Iguaçu,3303500,Rosa dos Ventos,26276-010,26278-757,78
RJ,Nova Iguaçu,3303500,Sacopa,26040-001,26041-500,4
RJ,Nova Iguaçu,3303500,Santa Branca,26250-470,26251-450,4
RJ,Nova Iguaçu,3303500,Santa Catarina,26215-050,26285-690,10
RJ,Nova Iguaçu,3303500,Santa Cecília,26053-320,26053-340,3
RJ,Nova Iguaçu,3303500,Santa Clara,26226-010,26230-390,2
RJ,Nova Iguaçu,3303500,Santa Eufenia,26285-630,26285-630,1
RJ,Nova Iguaçu,3303500,Santa Eugênia,26285-580,26286-460,62
RJ,Nova Iguaçu,3303500,Santa Isabel,26022-261,26022-261,1
RJ,Nova Iguaçu,3303500,Santa Lúcia,26276-510,26276-540,2
RJ,Nova Iguaçu,3303500,Santa Rita,26042-080,26060-650,159
RJ,Nova Iguaçu,3303500,Santa Teresinha,26251-060,26251-460,9
RJ,Nova Iguaçu,3303500,Santos Neves,26276-120,26276-500,6
RJ,Nova Iguaçu,3303500,São Benedito,26020-247,26022-590,17
RJ,Nova Iguaçu,3303500,Sao Bosco,26015-040,26015-040,1
RJ,Nova Iguaçu,3303500,São Francisco Xavier,26277-090,26277-210,3
RJ,Nova Iguaçu,3303500,São Gabriel,26021-520,26021-840,13
RJ,Nova Iguaçu,3303500,São Geraldo,26275-100,26277-300,9
RJ,Nova Iguaçu,3303500,São Jorge,26276-100,26276-300,3
RJ,Nova Iguaçu,3303500,São José,26230-150,26285-380,11
RJ,Nova Iguaçu,3303500,São Luiz Gonzaga,26032-290,26035-190,22
RJ,Nova Iguaçu,3303500,Sitio Novo Oriente,26032-310,26035-050,7
RJ,Nova Iguaçu,3303500,Tinguá,26060-115,26065-220,55
RJ,Nova Iguaçu,3303500,Tinguazinho,26080-000,26080-350,72
RJ,Nova Iguaçu,3303500,Tiradentes,26020-060,26020-060,1
RJ,Nova Iguaçu,3303500,Três Corações,26030-480,26041-059,45
RJ,Nova Iguaçu,3303500,Triangulo,26052-120,26052-130,2
RJ,Nova Iguaçu,3303500,Valverde,26290-600,26291-087,115
RJ,Nova Iguaçu,3303500,Viga,26012-315,26015-450,34
RJ,Nova Iguaçu,3303500,Vila Abolição,26022-570,26022-570,2
RJ,Nova Iguaçu,3303500,Vila Anita,26022-240,26022-240,5
RJ,Nova Iguaçu,3303500,Vila Avelina,26261-020,26261-330,7
RJ,Nova Iguaçu,3303500,Vila Bandeirantes,26280-310,26286-970,8
RJ,Nova Iguaçu,3303500,Vila Bom Jardim,26052-020,26052-040,3
RJ,Nova Iguaçu,3303500,Vila Borgerth,26020-810,26020-810,1
RJ,Nova Iguaçu,3303500,Vila Borges,26277-050,26277-370,6
RJ,Nova Iguaçu,3303500,Vila Brasília,26035-000,26035-000,3
RJ,Nova Iguaçu,3303500,Vila Camari,26022-170,26022-171,2
RJ,Nova Iguaçu,3303500,Vila Carlota,26053-360,26053-425,4
RJ,Nova Iguaçu,3303500,Vila Catia,26010-340,26010-365,3
RJ,Nova Iguaçu,3303500,Vila Catulina,26250-100,26250-100,1
RJ,Nova Iguaçu,3303500,Vila Cosme e Damião,26276-470,26276-470,1
RJ,Nova Iguaçu,3303500,Vila Crista,26050-275,26050-275,1
RJ,Nova Iguaçu,3303500,Vila de Cava,26050-791,26065-051,92
RJ,Nova Iguaçu,3303500,Vila do Tinguá,26062-460,26063-532,3
RJ,Nova Iguaçu,3303500,Vila Esperança,26020-050,26020-090,2
RJ,Nova Iguaçu,3303500,Vila Fátima,26250-030,26250-140,2
RJ,Nova Iguaçu,3303500,Vila Fluminense,26060-100,26065-040,16
RJ,Nova Iguaçu,3303500,Vila Formosa,26050-730,26053-430,26
RJ,Nova Iguaçu,3303500,Vila Gaúcha,26041-300,26065-611,20
RJ,Nova Iguaçu,3303500,Vila Guarita,26040-090,26041-141,4
RJ,Nova Iguaçu,3303500,Vila Guimarães,26088-000,26088-490,101
RJ,Nova Iguaçu,3303500,Vila Humaita,26232-000,26232-500,49
RJ,Nova Iguaçu,3303500,Vila Iguaçuana,26050-210,26051-040,17
RJ,Nova Iguaçu,3303500,Vila Iracema,26012-060,26015-370,7
RJ,Nova Iguaçu,3303500,Vila Itaci,26225-630,26225-770,5
RJ,Nova Iguaçu,3303500,Vila José,26011-650,26012-130,4
RJ,Nova Iguaçu,3303500,Vila Maia,26065-012,26065-012,2
RJ,Nova Iguaçu,3303500,Vila Maranhão,26020-780,26020-780,1
RJ,Nova Iguaçu,3303500,Vila Marilia,26040-210,26041-140,5
RJ,Nova Iguaçu,3303500,Vila Marines,26035-130,26035-130,1
RJ,Nova Iguaçu,3303500,Vila Marpiza,26262-090,26262-540,6
RJ,Nova Iguaçu,3303500,Vila Martins,26043-000,26270-420,10
RJ,Nova Iguaçu,3303500,Vila Matilde,26031-670,26053-480,9
RJ,Nova Iguaçu,3303500,Vila Morro Agudo,26032-210,26032-490,3
RJ,Nova Iguaçu,3303500,Vila Norma,26231-310,26231-700,19
RJ,Nova Iguaçu,3303500,Vila Nossa Senhora da Conceição,26035-030,26041-271,3
RJ,Nova Iguaçu,3303500,Vila Nova,26225-310,26230-700,54
RJ,Nova Iguaçu,3303500,Vila Nova do Couto,26060-510,26060-510,1
RJ,Nova Iguaçu,3303500,Vila Olorum,26011-590,26011-590,1
RJ,Nova Iguaçu,3303500,Vila Omega,26053-131,26053-410,4
RJ,Nova Iguaçu,3303500,Vila Operária,26011-430,26023-315,19
RJ,Nova Iguaçu,3303500,Vila Pacheco da Rocha,26040-510,26040-660,7
RJ,Nova Iguaçu,3303500,Vila Palmeiras,26281-358,26281-359,2
RJ,Nova Iguaçu,3303500,Vila Paulista,26022-400,26022-400,1
RJ,Nova Iguaçu,3303500,Vila Pedro I,26030-030,26031-180,8
RJ,Nova Iguaçu,3303500,Vila Posse,26021-290,26021-290,1
RJ,Nova Iguaçu,3303500,Vila Sacra Família,26260-450,26260-500,3
RJ,Nova Iguaçu,3303500,Vila Santa Teresinha de Jesus,26021-350,26021-420,8
RJ,Nova Iguaçu,3303500,Vila Santo Antônio,26010-050,26010-080,3
RJ,Nova Iguaçu,3303500,Vila Santos Neto,26010-170,26010-170,2
RJ,Nova Iguaçu,3303500,Vila São Domingos,26271-020,26271-340,7
RJ,Nova Iguaçu,3303500,Vila São Jorge,26260-010,26262-390,8
RJ,Nova Iguaçu,3303500,Vila São Luis,26011-770,26013-600,39
RJ,Nova Iguaçu,3303500,Vila São Teodoro,26021-130,26025-380,21
RJ,Nova Iguaçu,3303500,Vila Sueli,26010-432,26010-540,8
RJ,Nova Iguaçu,3303500,Vila Três Corações,26032-420,26035-340,21
RJ,Nova Iguaçu,3303500,Vila Treze de Maio,26030-100,26035-020,7
RJ,Nova Iguaçu,3303500,Vila Vieira,26065-560,26065-560,1
RJ,Nova Iguaçu,3303500,Vila Zulmira,26262-520,26262-520,1
RJ,Nova Iguaçu,3303500,Vista Alegre,26256-110,26262-120,2
RJ,Paracambi,3303609,Centro,26600-959,26600-972,3
RJ,Paraíba do Sul,3303708,Centro,25850-959,25860-970,5
RJ,Paraíba do Sul,3303708,Inconfidência,25865-971,25865-971,1
RJ,Paraíba do Sul,3303708,Sardoal,25865-970,25865-970,1
RJ,Paraty,3303807,Centro,23972-970,23972-970,1
RJ,Paraty,3303807,Centro Histórico,23970-959,23970-970,2
RJ,Paraty,3303807,Tarituba,23975-970,23975-970,1
RJ,Paty do Alferes,3303856,Centro,26950-959,26980-970,4
RJ,Petrópolis,3303906,Alto da Serra,25625-001,25645-115,123
RJ,Petrópolis,3303906,Araras,25725-000,25725-905,152
RJ,Petrópolis,3303906,Área Rural de Petrópolis,25779-899,25779-899,1
RJ,Petrópolis,3303906,Bartolomeu De Gusmao,25625-240,25625-240,1
RJ,Petrópolis,3303906,Bingen,25645-470,25669-900,117
RJ,Petrópolis,3303906,Bonsucesso,25725-030,25730-762,25
RJ,Petrópolis,3303906,Carangola,25715-061,25715-512,57
RJ,Petrópolis,3303906,Cascatinha,25710-030,25716-242,80
RJ,Petrópolis,3303906,Castelanea,25635-133,25645-695,86
RJ,Petrópolis,3303906,Castrioto,25665-180,25665-360,18
RJ,Petrópolis,3303906,Caxambu,25610-011,25615-172,37
RJ,Petrópolis,3303906,Centro,25610-000,25689-900,197
RJ,Petrópolis,3303906,Chácara Flora,25635-200,25635-515,30
RJ,Petrópolis,3303906,Coronel Veiga,25640-404,25655-970,34
RJ,Petrópolis,3303906,Corrêas,25715-160,25750-362,139
RJ,Petrópolis,3303906,Cuiabá,25740-440,25745-698,17
RJ,Petrópolis,3303906,Duarte Silveira,25665-045,25670-090,50
RJ,Petrópolis,3303906,Duchas,25680-010,25680-401,10
RJ,Petrópolis,3303906,Duques,25650-410,25650-410,1
RJ,Petrópolis,3303906,Estrada da Saudade,25610-105,25716-080,43
RJ,Petrópolis,3303906,Fazenda Inglesa,25670-071,25725-697,74
RJ,Petrópolis,3303906,Floresta,25615-090,25615-122,9
RJ,Petrópolis,3303906,Gloria,25710-390,25720-464,46
RJ,Petrópolis,3303906,Independência,25645-072,25650-100,71
RJ,Petrópolis,3303906,Itaipava,25645-610,25750-970,225
RJ,Petrópolis,3303906,Itamarati,25615-250,25716-200,71
RJ,Petrópolis,3303906,Morin,25625-041,25675-240,84
RJ,Petrópolis,3303906,Mosela,25665-063,25680-350,141
RJ,Petrópolis,3303906,Nogueira,25720-112,25730-726,90
RJ,Petrópolis,3303906,Pedro do Rio,25745-501,25755-900,170
RJ,Petrópolis,3303906,Posse,25770-000,25770-970,73
RJ,Petrópolis,3303906,Provisória,25615-125,25615-170,27
RJ,Petrópolis,3303906,Quarteirão Brasileiro,25680-090,25680-505,39
RJ,Petrópolis,3303906,Quarteirão Ingelheim,25660-219,25675-543,31
RJ,Petrópolis,3303906,Quarteirao Ingelhein,25675-190,25675-194,2
RJ,Petrópolis,3303906,Quissama,25615-051,25716-215,46
RJ,Petrópolis,3303906,Quitandinha,25650-000,25665-060,129
RJ,Petrópolis,3303906,Retiro,25670-032,25715-460,73
RJ,Petrópolis,3303906,Roseiral,25715-110,25720-100,35
RJ,Petrópolis,3303906,Saldanha Marinho,25640-032,25640-410,22
RJ,Petrópolis,3303906,Samambaia,25710-151,25716-211,46
RJ,Petrópolis,3303906,São Sebastião,25645-040,25645-730,67
RJ,Petrópolis,3303906,Simeria,25645-020,25645-712,20
RJ,Petrópolis,3303906,Vale do Carangola,25715-391,25715-437,50
RJ,Petrópolis,3303906,Valparaíso,25655-010,25685-201,88
RJ,Petrópolis,3303906,Vila Militar,25660-010,25668-900,24
RJ,Pinheiral,3303955,Centro,27197-959,27197-970,2
RJ,Piraí,3304003,Arrozal,27185-959,27185-970,2
RJ,Piraí,3304003,Centro,27175-959,27195-970,3
RJ,Piraí,3304003,Monumento,27190-970,27190-970,1
RJ,Piraí,3304003,Ribeirão das Lajes,27175-972,27175-972,1
RJ,Piraí,3304003,Rosa Machado,27175-971,27175-971,1
RJ,Porciúncula,3304102,Centro,28390-959,28390-970,2
RJ,Porciúncula,3304102,Purilândia,28396-970,28396-970,1
RJ,Porciúncula,3304102,Santa Clara,28398-970,28398-970,1
RJ,Porto Real,3304110,Bulhões,27570-971,27570-971,1
RJ,Porto Real,3304110,Centro,27570-959,27570-970,2
RJ,Quatis,3304128,Alto Paraíso,27430-440,27430-450,3
RJ,Quatis,3304128,Área Rural de Quatis,27459-899,27459-899,1
